ID,Pos,Department,Stage,Stage_class,Application_date,App_source,Qualification,Experience,Type,Offer_taken,Conf_Date,Recency,Event
5951,Associate Software Developer,Engineering,New Application,0,19-02-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
6035,Associate Software Developer,Engineering,New Application,0,28-12-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
6120,Associate Software Developer,Engineering,New Application,0,31-10-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
6206,Associate Software Developer,Engineering,New Application,0,03-03-2016,Website,Bachelors,2,Campus,Not avaliable,#N/A,--,9
6293,Associate Software Developer,Engineering,New Application,0,27-10-2018,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
6381,Associate Software Developer,Engineering,New Application,0,23-09-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
6470,Associate Software Developer,Engineering,New Application,0,13-11-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
6560,Associate Software Developer,Engineering,New Application,0,10-09-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
6651,Associate Software Developer,Engineering,New Application,0,06-09-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
6743,Associate Software Developer,Engineering,New Application,0,20-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
6836,Associate Software Developer,Engineering,New Application,0,27-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
6930,Associate Software Developer,Engineering,New Application,0,02-12-2017,Advertisement,Bachelors,4,Campus,Not avaliable,#N/A,--,9
7025,Associate Software Developer,Engineering,New Application,0,12-10-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
7121,Associate Software Developer,Engineering,New Application,0,29-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
7218,Associate Software Developer,Engineering,New Application,0,13-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
7316,Associate Software Developer,Engineering,New Application,0,18-08-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
7415,Associate Software Developer,Engineering,New Application,0,03-10-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
7515,Associate Software Developer,Engineering,New Application,0,21-03-2017,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
7616,Associate Software Developer,Engineering,New Application,0,26-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
7718,Associate Software Developer,Engineering,New Application,0,08-03-2016,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
7821,Associate Software Developer,Engineering,New Application,0,01-12-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
7925,Associate Software Developer,Engineering,New Application,0,10-01-2016,Advertisement,Bachelors,1,Campus,Not avaliable,#N/A,--,9
8030,Associate Software Developer,Engineering,New Application,0,05-09-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
8136,Associate Software Developer,Engineering,New Application,0,21-08-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
8243,Associate Software Developer,Engineering,New Application,0,19-01-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
8351,Associate Software Developer,Engineering,New Application,0,02-10-2016,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
8460,Associate Software Developer,Engineering,New Application,0,18-01-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
8570,Associate Software Developer,Engineering,New Application,0,22-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
8681,Associate Software Developer,Engineering,New Application,0,11-11-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
8793,Associate Software Developer,Engineering,New Application,0,28-10-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
8906,Associate Software Developer,Engineering,New Application,0,16-03-2017,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
9020,Associate Software Developer,Engineering,New Application,0,20-01-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
9135,Associate Software Developer,Engineering,New Application,0,07-12-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
9251,Associate Software Developer,Engineering,New Application,0,01-11-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
9368,Associate Software Developer,Engineering,New Application,0,22-12-2017,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
9486,Associate Software Developer,Engineering,New Application,0,02-03-2016,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
9605,Associate Software Developer,Engineering,New Application,0,30-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
9725,Associate Software Developer,Engineering,New Application,0,23-09-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
9846,Associate Software Developer,Engineering,New Application,0,04-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
9968,Associate Software Developer,Engineering,New Application,0,02-08-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
10008,Associate Software Developer,Engineering,Offer Sent,1,08-08-2016,Campus Event,Bachelors,0,Campus,Offer Accepted,13-10-2016,66,1
10091,Associate Software Developer,Engineering,New Application,0,01-01-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
10215,Associate Software Developer,Engineering,New Application,0,20-10-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
10340,Associate Software Developer,Engineering,New Application,0,10-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
10466,Associate Software Developer,Engineering,New Application,0,29-10-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
10593,Associate Software Developer,Engineering,New Application,0,12-11-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
10701,Operations Coordinator,Operations,Offer Sent,1,30-10-2017,Website,Bachelors,0,Campus,Offer Accepted,08-12-2017,39,1
10721,Associate Software Developer,Engineering,New Application,0,22-09-2018,Campus Event,Bachelors,0,Campus,Not avaliable,#N/A,--,9
10850,Associate Software Developer,Engineering,New Application,0,25-10-2016,Website,Bachelors,0,Campus,Not avaliable,#N/A,--,9
10980,Associate Software Developer,Engineering,New Application,0,17-10-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
11111,Associate Software Developer,Engineering,New Application,0,18-02-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
11243,Associate Software Developer,Engineering,New Application,0,15-08-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
11376,Associate Software Developer,Engineering,New Application,0,19-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
11510,Associate Software Developer,Engineering,New Application,0,11-10-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
11645,Associate Software Developer,Engineering,New Application,0,06-01-2016,Advertisement,Bachelors,1,Campus,Not avaliable,#N/A,--,9
11781,Associate Software Developer,Engineering,New Application,0,03-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
11918,Associate Software Developer,Engineering,New Application,0,07-09-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
12056,Associate Software Developer,Engineering,New Application,0,02-08-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
12195,Associate Software Developer,Engineering,New Application,0,12-02-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
12335,Associate Software Developer,Engineering,New Application,0,28-02-2017,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
12476,Associate Software Developer,Engineering,New Application,0,26-12-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
12618,Associate Software Developer,Engineering,New Application,0,09-10-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
12761,Associate Software Developer,Engineering,New Application,0,17-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
12905,Associate Software Developer,Engineering,New Application,0,14-12-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
13050,Associate Software Developer,Engineering,New Application,0,18-12-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
13196,Associate Software Developer,Engineering,New Application,0,07-01-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
13343,Associate Software Developer,Engineering,New Application,0,26-10-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
13491,Associate Software Developer,Engineering,New Application,0,05-12-2017,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
13640,Associate Software Developer,Engineering,New Application,0,16-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
13790,Associate Software Developer,Engineering,New Application,0,12-08-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
13941,Associate Software Developer,Engineering,New Application,0,16-01-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
14093,Associate Software Developer,Engineering,New Application,0,04-11-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
14246,Associate Software Developer,Engineering,New Application,0,12-03-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
14400,Associate Software Developer,Engineering,New Application,0,19-02-2016,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
14555,Associate Software Developer,Engineering,New Application,0,10-10-2016,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
14711,Associate Software Developer,Engineering,New Application,0,31-10-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
14868,Associate Software Developer,Engineering,New Application,0,10-11-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
15026,Associate Software Developer,Engineering,New Application,0,20-01-2018,Website,Bachelors,0,Campus,Not avaliable,#N/A,--,9
15185,Associate Software Developer,Engineering,New Application,0,23-01-2016,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
15345,Associate Software Developer,Engineering,New Application,0,01-10-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
15506,Associate Software Developer,Engineering,New Application,0,04-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
15668,Associate Software Developer,Engineering,New Application,0,26-12-2017,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
15831,Associate Software Developer,Engineering,New Application,0,30-10-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
15872,Associate Product Manager,Product,Offer Sent,1,17-12-2016,Campus Job Board,Bachelors,0,Campus,Offer Declined,24-01-2017,38,0
15995,Associate Software Developer,Engineering,New Application,0,01-11-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
16160,Associate Software Developer,Engineering,New Application,0,15-10-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
16326,Associate Software Developer,Engineering,New Application,0,01-12-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
16493,Associate Software Developer,Engineering,New Application,0,24-11-2018,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
16661,Associate Software Developer,Engineering,New Application,0,13-12-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
16830,Associate Software Developer,Engineering,New Application,0,03-01-2017,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
17000,Associate Software Developer,Engineering,New Application,0,10-11-2018,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
17171,Associate Software Developer,Engineering,New Application,0,01-11-2018,Website,Bachelors,0,Campus,Not avaliable,#N/A,--,9
17343,Associate Software Developer,Engineering,New Application,0,29-12-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
17516,Associate Software Developer,Engineering,New Application,0,30-10-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
17690,Associate Software Developer,Engineering,New Application,0,18-10-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
17865,Associate Software Developer,Engineering,New Application,0,12-08-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
18041,Associate Software Developer,Engineering,New Application,0,03-10-2017,Advertisement,Bachelors,1,Campus,Not avaliable,#N/A,--,9
18218,Associate Software Developer,Engineering,New Application,0,06-01-2018,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
18396,Associate Software Developer,Engineering,New Application,0,19-10-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
18573,Business Operations Manager,Operations,Offer Sent,1,08-07-2018,Agency,PhD,5,Experienced,Offer Accepted,19-08-2018,42,1
18575,Associate Software Developer,Engineering,New Application,0,13-09-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
18755,Associate Software Developer,Engineering,New Application,0,08-01-2017,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
18936,Associate Software Developer,Engineering,New Application,0,03-09-2017,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
19118,Associate Software Developer,Engineering,New Application,0,18-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
19301,Associate Software Developer,Engineering,New Application,0,23-10-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
19485,Associate Software Developer,Engineering,New Application,0,26-12-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
19670,Associate Software Developer,Engineering,New Application,0,30-09-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
19856,Associate Software Developer,Engineering,New Application,0,29-08-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
20043,Associate Software Developer,Engineering,New Application,0,14-12-2018,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
20231,Associate Software Developer,Engineering,New Application,0,27-09-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
20420,Associate Software Developer,Engineering,New Application,0,11-09-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
20610,Associate Software Developer,Engineering,New Application,0,19-10-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
20801,Associate Software Developer,Engineering,New Application,0,14-03-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
20993,Associate Software Developer,Engineering,New Application,0,09-09-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
21186,Associate Software Developer,Engineering,New Application,0,05-11-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
21380,Associate Software Developer,Engineering,New Application,0,17-01-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
21575,Associate Software Developer,Engineering,New Application,0,20-10-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
21622,Sr. Business Analyst,IT,Offer Sent,1,16-06-2017,Advertisement,PhD,15,Experienced,Offer Accepted,30-07-2017,44,1
21771,Associate Software Developer,Engineering,New Application,0,04-08-2018,Campus Event,Bachelors,0,Campus,Not avaliable,#N/A,--,9
21968,Associate Software Developer,Engineering,New Application,0,15-12-2018,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
22166,Associate Software Developer,Engineering,New Application,0,02-02-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
22365,Associate Software Developer,Engineering,New Application,0,10-10-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
22565,Associate Software Developer,Engineering,New Application,0,31-10-2018,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
22766,Associate Software Developer,Engineering,New Application,0,15-11-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
22968,Associate Software Developer,Engineering,New Application,0,11-01-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
23171,Associate Software Developer,Engineering,New Application,0,15-11-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
